figure_id,specimen_id,tube_id,soil_type,stage_index,q0_fraction,q0_kPa,q0_over_qpeak,y25,y50,y75,mean_y_10_90
F-24,ST-38A,ST-38,MH,2,0.02,6.273219226616278,0.03483186688848572,0.29665084869754177,0.5889710280710321,0.8278796191145507,0.5617474364868661
F-24,ST-38A,ST-38,MH,2,0.05,6.273219226616278,0.03483186688848572,0.29665084869754177,0.5889710280710321,0.8278796191145507,0.5617474364868661
F-24,ST-38A,ST-38,MH,2,0.1,6.77507676474558,0.03761841623956458,0.2946143206153174,0.5877809050113951,0.8273812492955962,0.5604784882681207
F-24,ST-38A,ST-38,MH,2,0.15,7.276934302874882,0.04040496559064343,0.29256596486454006,0.586583870001361,0.8268799850637993,0.5592021703012864
F-25,ST-38B,ST-38,MH,1,0.02,16.61197737238184,0.16065742139634273,0.4026804405835854,0.7439656570423192,0.9028709430125232,0.6663043997344589
F-25,ST-38B,ST-38,MH,1,0.05,18.17914504902164,0.1758137819054317,0.3916960412052806,0.7392573172043324,0.9010847896271712,0.6601679093310958
F-25,ST-38B,ST-38,MH,1,0.1,22.567214543613066,0.2182515913308807,0.35867379620957257,0.7251027015263793,0.8957151018855272,0.6417198647421583
F-25,ST-38B,ST-38,MH,1,0.15,27.895584644188375,0.2697832170617831,0.31341520632593667,0.7057031135815793,0.888355684155635,0.6164359240435694
F-25,ST-38B,ST-38,MH,2,0.02,24.6045325232448,0.1261124168285228,0.7546503620084151,0.8888512790038214,0.9954766651097606,0.8694049917836905
F-25,ST-38B,ST-38,MH,2,0.05,29.46275232082817,0.15101359467364517,0.7474541396289575,0.885591233788233,0.9953439935312194,0.8655745776511707
F-25,ST-38B,ST-38,MH,2,0.1,63.00014060091981,0.32291204818513486,0.6833380337048323,0.8565452436369598,0.9941619309802944,0.83144677763279
F-25,ST-38B,ST-38,MH,2,0.15,88.38825696248452,0.4530407840209355,0.6080000191738799,0.822415484872881,0.992772978167978,0.7913457662467142
F-26,ST-39A,ST-39,MH,1,0.02,18.260542813866454,0.12498660379100927,0.3869655865331441,0.7443244100697926,0.8752174675279837,0.6582860018252791
F-26,ST-39A,ST-39,MH,1,0.05,19.920592160581588,0.13634902231746468,0.37890034518342497,0.7409606750253644,0.8735757958395632,0.6537903229411676
F-26,ST-39A,ST-39,MH,1,0.1,27.09200533839096,0.18543467035175196,0.34147292476558216,0.7253509839791777,0.8659574824120647,0.6329277527633863
F-26,ST-39A,ST-39,MH,1,0.15,35.06024220262359,0.2399742792787378,0.2942168804345654,0.7056421116113558,0.8563385625656458,0.606586569476542
F-26,ST-39A,ST-39,MH,2,0.02,22.311063219851377,0.13424225764050168,0.577773893836732,0.8989644929664168,0.9981828533297532,0.8017996359320274
F-26,ST-39A,ST-39,MH,2,0.05,22.311063219851377,0.13424225764050168,0.577773893836732,0.8989644929664168,0.9981828533297532,0.8017996359320274
F-26,ST-39A,ST-39,MH,2,0.1,28.685652711237484,0.1725971883949307,0.5582012590360491,0.894280909805158,0.9980986180168796,0.7926118967405411
F-26,ST-39A,ST-39,MH,2,0.15,44.48932249196554,0.2676854542236194,0.5008353684281787,0.8805536869750328,0.9978517307790178,0.7656833382322077
F-27,ST-39B,ST-39,MH,1,0.02,15.879068823481658,0.11065553187095233,0.34533925700580537,0.6729036993127826,0.8925496238054454,0.629176393409942
F-27,ST-39B,ST-39,MH,1,0.05,18.471569855886827,0.12872174115600576,0.3317646752076391,0.6661212619403379,0.890321608858,0.6214872575724623
F-27,ST-39B,ST-39,MH,1,0.1,24.790791122374426,0.17275812628832352,0.2961926508013502,0.6483479683439696,0.8844831231302993,0.6013379718161197
F-27,ST-39B,ST-39,MH,1,0.15,29.489699243608793,0.20550313061748288,0.26718539402724184,0.6338547113624994,0.8797221218237375,0.5849072087233735
F-27,ST-39B,ST-39,MH,2,0.02,16.284147109794965,0.07855353164396991,0.734169968616559,0.8919465303296497,0.9530213284121364,0.8379191485614431
F-27,ST-39B,ST-39,MH,2,0.05,22.036258775443933,0.10630129655303393,0.725916416062273,0.8885916611075534,0.9515627237057265,0.8328868246421717
F-27,ST-39B,ST-39,MH,2,0.1,49.25751961569821,0.2376146628832523,0.6787082179103685,0.8694026718851849,0.9432198798754367,0.8041032259211378
F-27,ST-39B,ST-39,MH,2,0.15,70.15955918946489,0.3384445691725272,0.6297390480267641,0.8494978903025203,0.9345658292479745,0.7742459343740986
F-28,ST-49A,ST-49,MH,1,0.02,22.01330580187286,0.13087577765679467,0.3485236758963692,0.6709745882523993,0.891262835307509,0.6269626793721669
F-28,ST-49A,ST-49,MH,1,0.05,23.646801992117844,0.14058740780093845,0.341161790389,0.6672564985526185,0.8900340714564766,0.6227472413848901
